[2025-07-14 16:26:32] SMSEMOA | P=0.01 | C=0.5 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.01 | C=0.5 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.01 | C=0.7 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.01 | C=0.7 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.01 | C=0.9 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.01 | C=0.9 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.4 | C=0.5 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.4 | C=0.5 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.4 | C=0.7 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.4 | C=0.7 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.4 | C=0.9 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.4 | C=0.9 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.7 | C=0.5 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.7 | C=0.5 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.7 | C=0.7 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.7 | C=0.7 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.7 | C=0.9 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] SMSEMOA | P=0.7 | C=0.9 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.01 | C=0.5 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.01 | C=0.5 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.01 | C=0.7 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.01 | C=0.7 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.01 | C=0.9 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.01 | C=0.9 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.4 | C=0.5 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.4 | C=0.5 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.4 | C=0.7 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.4 | C=0.7 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.4 | C=0.9 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.4 | C=0.9 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.7 | C=0.5 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.7 | C=0.5 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.7 | C=0.7 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.7 | C=0.7 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.7 | C=0.9 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:32] NSGA3 | P=0.7 | C=0.9 | eta=20 => 0/21 runs -> ❌ Not Started
